"Table S8: Macroevolutionary correlates of interspecific variation in naked tails. Shown are the results of a Bayesian phylogenetic logistic regression, computed in MCMCglmm. Statistically significant coefficients are highlighted in grey. Note the insufficient trait variation in Scuriomorpha or Anomaluromorpha to run comparative models. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,n = 2039,,,,,Myomorpha,n = 1404,,,,,Hystricomorpha,n = 230,,,,,Castorimorpha,n = 95,,,,,,,,,,,,,,,
Fixed effects,?,lower 95% CI,upper 95% CI,pMCMC,,Fixed effects,?,lower 95% CI,upper 95% CI,pMCMC,,Fixed effects,?,lower 95% CI,upper 95% CI,pMCMC,,Fixed effects,?,lower 95% CI,upper 95% CI,pMCMC,,,,,,,,,,,,
Temperature,0.714,0.278,1.165,< 0.001,,Temperature,0.768,0.291,1.306,0.002,,Temperature,1.118,-1.471,3.634,0.316,,Temperature,-0.085,-2.926,2.627,0.936,,,,,,,,,,,,
Random effects,,,,,,Random effects,,,,,,Random effects,,,,,,Random effects,,,,,,,,,,,,,,,,
Phylogeny,59.3,26.6,98.5,,,Phylogeny,56.2,22.3,99.4,,,Phylogeny,375.6,7.7,1366.0,,,Phylogeny,904.4,5.0,3752.0,,,,,,,,,,,,,
Residuals,,,,,,Residuals,,,,,,Residuals,,,,,,Residuals,,,,,,,,,,,,,,,,
Residual,1,1,1,,,Residual,1,1,1,,,Residual,1,1,1,,,Residual,1,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
